Entrando en modo automático
A continuación se ejecturá el algoritmo con distintos valores para el estudio del tiempo
Resultados de la ejecución
------------------------------------------------------------------------------
Threshold 	 Sigma value 	 Tiempo de ejecución
40	 3	 0,148
40	 6	 0,452
40	 9	 0,950
40	 12	 1,644
40	 15	 2,505
40	 18	 3,624
60	 3	 0,132
60	 6	 0,446
60	 9	 0,960
60	 12	 1,637
60	 15	 2,493
60	 18	 3,616
80	 3	 0,132
80	 6	 0,445
80	 9	 0,950
80	 12	 1,637
80	 15	 2,487
80	 18	 3,618
100	 3	 0,132
100	 6	 0,451
100	 9	 0,946
100	 12	 1,642
100	 15	 2,488
100	 18	 3,726
120	 3	 0,132
120	 6	 0,445
120	 9	 0,946
120	 12	 1,637
120	 15	 2,488
120	 18	 3,617
140	 3	 0,141
140	 6	 0,445
140	 9	 0,956
140	 12	 1,632
140	 15	 2,493
140	 18	 3,622
Tamaño de la imagen en pixeles: 154401
