Entrando en modo automático
A continuación se ejecturá el algoritmo con distintos valores para el estudio del tiempo
Resultados de la ejecución
------------------------------------------------------------------------------
Threshold 	 Sigma value 	 Tiempo de ejecución
40	 3	 0,126
40	 6	 0,362
40	 9	 0,821
40	 12	 1,375
40	 15	 2,47
40	 18	 2,989
60	 3	 0,109
60	 6	 0,369
60	 9	 0,824
60	 12	 1,375
60	 15	 2,37
60	 18	 2,991
80	 3	 0,117
80	 6	 0,357
80	 9	 0,812
80	 12	 1,374
80	 15	 2,38
80	 18	 3,2
100	 3	 0,110
100	 6	 0,362
100	 9	 0,814
100	 12	 1,374
100	 15	 2,35
100	 18	 3,16
120	 3	 0,119
120	 6	 0,360
120	 9	 0,812
120	 12	 1,376
120	 15	 2,46
120	 18	 3,183
140	 3	 0,119
140	 6	 0,358
140	 9	 0,820
140	 12	 1,376
140	 15	 2,49
140	 18	 2,999
Tamaño de la imagen en pixeles: 154401
